repository,owner,repo,is_qualified,reason,min_prs_per_year,validation_date,total_prs,analysis_period_prs,years_meeting_criteria,total_analysis_years,yearly_details,qualification_ratio,has_cache,has_newcomers,has_pr_details,newcomer_count,pr_detail_count,completeness,has_issues,total_issues,sample_issues_count,issue_collection_date
JuliaLang/julia,JuliaLang,julia,True,qualified,50,2025-07-30T05:42:45.999935,25577,8647,5,5,"{2021: {'pr_count': 2086, 'meets_criteria': True}, 2022: {'pr_count': 2256, 'meets_criteria': True}, 2023: {'pr_count': 2232, 'meets_criteria': True}, 2024: {'pr_count': 2192, 'meets_criteria': True}, 2025: {'pr_count': 984, 'meets_criteria': True}}",1.0,True,True,True,479,479,complete,True,645,645,2025-08-08T01:33:48.423769
angular/angular,angular,angular,True,qualified,50,2025-07-30T05:42:46.497443,3830,826,5,5,"{2021: {'pr_count': 104, 'meets_criteria': True}, 2022: {'pr_count': 266, 'meets_criteria': True}, 2023: {'pr_count': 192, 'meets_criteria': True}, 2024: {'pr_count': 184, 'meets_criteria': True}, 2025: {'pr_count': 161, 'meets_criteria': True}}",1.0,True,True,True,12,11,complete,True,381,381,2025-08-12T04:06:51.999339
ant-design/ant-design,ant-design,ant-design,True,qualified,50,2025-07-30T05:42:46.725151,15617,8090,5,5,"{2021: {'pr_count': 1046, 'meets_criteria': True}, 2022: {'pr_count': 2277, 'meets_criteria': True}, 2023: {'pr_count': 2564, 'meets_criteria': True}, 2024: {'pr_count': 1925, 'meets_criteria': True}, 2025: {'pr_count': 973, 'meets_criteria': True}}",1.0,True,True,True,866,866,complete,True,1122,1122,2025-08-12T04:12:07.196591
axios/axios,axios,axios,True,qualified,50,2025-07-30T05:42:46.995447,984,590,5,5,"{2021: {'pr_count': 88, 'meets_criteria': True}, 2022: {'pr_count': 222, 'meets_criteria': True}, 2023: {'pr_count': 114, 'meets_criteria': True}, 2024: {'pr_count': 124, 'meets_criteria': True}, 2025: {'pr_count': 75, 'meets_criteria': True}}",1.0,True,True,True,242,242,complete,True,156,156,2025-08-12T04:13:59.568359
bitcoin/bitcoin,bitcoin,bitcoin,True,qualified,50,2025-07-30T05:42:47.249775,15326,4935,5,5,"{2021: {'pr_count': 1440, 'meets_criteria': True}, 2022: {'pr_count': 1364, 'meets_criteria': True}, 2023: {'pr_count': 1135, 'meets_criteria': True}, 2024: {'pr_count': 1159, 'meets_criteria': True}, 2025: {'pr_count': 635, 'meets_criteria': True}}",1.0,True,True,True,192,191,complete,True,121,121,2025-08-12T04:20:38.297908
denoland/deno,denoland,deno,True,qualified,50,2025-07-30T05:42:47.680700,13184,8150,5,5,"{2021: {'pr_count': 1821, 'meets_criteria': True}, 2022: {'pr_count': 1616, 'meets_criteria': True}, 2023: {'pr_count': 2098, 'meets_criteria': True}, 2024: {'pr_count': 2504, 'meets_criteria': True}, 2025: {'pr_count': 1137, 'meets_criteria': True}}",1.0,True,True,True,427,427,complete,True,1699,1699,2025-08-12T04:25:53.280236
electron/electron,electron,electron,True,qualified,50,2025-07-30T05:42:48.191245,23045,10455,5,5,"{2021: {'pr_count': 2784, 'meets_criteria': True}, 2022: {'pr_count': 2529, 'meets_criteria': True}, 2023: {'pr_count': 2357, 'meets_criteria': True}, 2024: {'pr_count': 2630, 'meets_criteria': True}, 2025: {'pr_count': 1915, 'meets_criteria': True}}",1.0,True,True,True,268,268,complete,True,651,651,2025-08-12T04:31:11.428804
excalidraw/excalidraw,excalidraw,excalidraw,True,qualified,50,2025-07-30T05:42:48.275370,3676,1686,5,5,"{2021: {'pr_count': 869, 'meets_criteria': True}, 2022: {'pr_count': 518, 'meets_criteria': True}, 2023: {'pr_count': 417, 'meets_criteria': True}, 2024: {'pr_count': 300, 'meets_criteria': True}, 2025: {'pr_count': 173, 'meets_criteria': True}}",1.0,True,True,True,164,164,complete,True,622,622,2025-08-12T04:34:45.886505
facebook/react,facebook,react,True,qualified,50,2025-07-30T05:42:48.528474,11953,4255,5,5,"{2021: {'pr_count': 825, 'meets_criteria': True}, 2022: {'pr_count': 673, 'meets_criteria': True}, 2023: {'pr_count': 696, 'meets_criteria': True}, 2024: {'pr_count': 1764, 'meets_criteria': True}, 2025: {'pr_count': 798, 'meets_criteria': True}}",1.0,True,True,True,260,178,complete,True,418,418,2025-08-08T01:45:41.657591
fastapi/fastapi,fastapi,fastapi,True,qualified,50,2025-07-30T05:42:48.662818,2699,2049,5,5,"{2021: {'pr_count': 225, 'meets_criteria': True}, 2022: {'pr_count': 306, 'meets_criteria': True}, 2023: {'pr_count': 377, 'meets_criteria': True}, 2024: {'pr_count': 973, 'meets_criteria': True}, 2025: {'pr_count': 266, 'meets_criteria': True}}",1.0,True,True,True,578,577,complete,True,146,146,2025-08-12T04:39:19.312640
