repository,before_gfi,after_gfi,before_gfi_monthly,after_gfi_monthly,gfi_change_monthly,before_ratio,after_ratio,ratio_change,before_total_monthly,after_total_monthly
godotengine_godot,133,3,4.433333333333334,0.16666666666666666,-4.266666666666667,0.7032943789328963,0.0297059114763838,-0.6735884674565125,630.3666666666667,561.0555555555555
yt-dlp_yt-dlp,144,11,4.8,0.6111111111111112,-4.188888888888888,2.410848819688599,0.34602076124567477,-2.064828058442924,199.1,176.61111111111111
rust-lang_rust,278,98,9.266666666666667,5.444444444444445,-3.822222222222223,2.499101042790363,1.2867647058823528,-1.21233633690801,370.8,423.1111111111111
vercel_next.js,102,6,3.4,0.3333333333333333,-3.0666666666666664,1.103060452038499,0.1457725947521866,-0.9572878572863124,308.23333333333335,228.66666666666666
supabase_supabase,188,75,6.266666666666667,4.166666666666667,-2.0999999999999996,7.469209376241557,4.725897920604915,-2.7433114556366425,83.9,88.16666666666667
microsoft_terminal,64,3,2.1333333333333333,0.16666666666666666,-1.9666666666666666,1.6632016632016633,0.20847810979847115,-1.4547235534031921,128.26666666666668,79.94444444444444
microsoft_vscode,131,44,4.366666666666666,2.4444444444444446,-1.9222222222222216,0.2437163959740284,0.15195468987429203,-0.09176170609973636,1791.7,1608.6666666666667
microsoft_TypeScript,62,3,2.066666666666667,0.16666666666666666,-1.9000000000000001,0.7499697592838999,0.09101941747572816,-0.6589503418081717,275.56666666666666,183.11111111111111
mui_material-ui,102,29,3.4,1.6111111111111112,-1.7888888888888888,1.9384264538198404,1.7028772753963595,-0.2355491784234809,175.4,94.61111111111111
storybookjs_storybook,113,47,3.7666666666666666,2.611111111111111,-1.1555555555555554,2.751400048697346,2.678062678062678,-0.07333737063466783,136.9,97.5
kubernetes_kubernetes,51,13,1.7,0.7222222222222222,-0.9777777777777777,0.8919202518363064,0.43668122270742354,-0.45523902912888287,190.6,165.38888888888889
bitcoin_bitcoin,36,5,1.2,0.2777777777777778,-0.9222222222222222,2.494802494802495,0.5586592178770949,-1.9361432769254,48.1,49.72222222222222
JuliaLang_julia,79,32,2.6333333333333333,1.7777777777777777,-0.8555555555555556,2.024084037919549,1.4862981885740827,-0.5377858493454664,130.1,119.61111111111111
pytorch_pytorch,231,132,7.7,7.333333333333333,-0.36666666666666714,1.306117833314486,0.9814126394052044,-0.32470519390928165,589.5333333333333,747.2222222222222
huggingface_transformers,86,45,2.8666666666666667,2.5,-0.3666666666666667,1.3204360509749733,1.1727912431587177,-0.14764480781625555,217.1,213.16666666666666
electron_electron,12,1,0.4,0.05555555555555555,-0.34444444444444444,0.31520882584712373,0.05589714924538849,-0.25931167660173526,126.9,99.38888888888889
ohmyzsh_ohmyzsh,10,0,0.3333333333333333,0.0,-0.3333333333333333,1.3175230566534915,0.0,-1.3175230566534915,25.3,19.055555555555557
tauri-apps_tauri,48,23,1.6,1.2777777777777777,-0.3222222222222224,1.7210469702402296,0.9850107066381156,-0.7360362636021139,92.96666666666667,129.72222222222223
flutter_flutter,115,65,3.8333333333333335,3.611111111111111,-0.22222222222222232,0.33988473474213093,0.3729202524383247,0.033035517696193784,1127.8333333333333,968.3333333333334
sveltejs_svelte,13,5,0.43333333333333335,0.2777777777777778,-0.15555555555555556,0.6582278481012658,0.19040365575019041,-0.46782419235107536,65.83333333333333,145.88888888888889
ant-design_ant-design,13,5,0.43333333333333335,0.2777777777777778,-0.15555555555555556,0.18780699219878647,0.16129032258064516,-0.02651666961814131,230.73333333333332,172.22222222222223
tensorflow_tensorflow,3,0,0.1,0.0,-0.1,0.04648280136349551,0.0,-0.04648280136349551,215.13333333333333,115.55555555555556
angular_angular,140,83,4.666666666666667,4.611111111111111,-0.055555555555556246,3.787878787878788,2.9695885509838997,-0.8182902368948883,123.2,155.27777777777777
facebook_react,3,2,0.1,0.1111111111111111,0.0111111111111111,0.14071294559099437,0.17035775127768313,0.029644805686688758,71.06666666666666,65.22222222222223
nodejs_node,83,52,2.7666666666666666,2.888888888888889,0.12222222222222223,2.2548220592230375,2.336028751123091,0.08120669190005358,122.7,123.66666666666667
fastapi_fastapi,1,3,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.08375209380234507,3.225806451612903,3.142054357810558,39.8,5.166666666666667
microsoft_PowerToys,19,16,0.6333333333333333,0.8888888888888888,0.25555555555555554,0.11577600389982329,0.19521717911176184,0.07944117521193855,547.0333333333333,455.3333333333333
puppeteer_puppeteer,8,14,0.26666666666666666,0.7777777777777778,0.5111111111111111,0.5076142131979695,1.881720430107527,1.3741062169095575,52.53333333333333,41.333333333333336
excalidraw_excalidraw,33,33,1.1,1.8333333333333333,0.7333333333333332,2.140077821011673,2.729528535980149,0.5894507149684758,51.4,67.16666666666667
denoland_deno,81,70,2.7,3.888888888888889,1.1888888888888887,1.798002219755827,1.7930327868852458,-0.004969432870581159,150.16666666666666,216.88888888888889
