repository,category,total_gfi,Y1_gfi_count,Y1_total_issues,Y1_gfi_ratio,Y2_gfi_count,Y2_total_issues,Y2_gfi_ratio,Y3_gfi_count,Y3_total_issues,Y3_gfi_ratio,Y4_gfi_count,Y4_total_issues,Y4_gfi_ratio,early_avg_ratio,late_avg_ratio,change
supabase_supabase,Declined,263,60,860,6.977,80,1045,7.656,108,1223,8.831,15,976,1.537,7.316,5.184,-2.132
yt-dlp_yt-dlp,Declined,155,69,2616,2.638,58,2322,2.498,25,1983,1.261,3,2231,0.134,2.568,0.698,-1.87
microsoft_terminal,Declined,67,39,1987,1.963,22,1345,1.636,4,1043,0.384,2,912,0.219,1.799,0.301,-1.498
rust-lang_rust,Declined,376,118,4298,2.745,131,4820,2.718,51,4390,1.162,76,5232,1.453,2.732,1.307,-1.424
vercel_next.js,Declined,108,59,3209,1.839,31,3867,0.802,15,3810,0.394,3,2477,0.121,1.32,0.257,-1.063
ohmyzsh_ohmyzsh,Declined,10,2,376,0.532,6,269,2.23,2,265,0.755,0,192,0.0,1.381,0.377,-1.004
godotengine_godot,Declined,136,75,5730,1.309,58,8782,0.66,0,7855,0.0,3,6643,0.045,0.985,0.023,-0.962
tauri-apps_tauri,Declined,71,19,969,1.961,21,1249,1.681,10,1346,0.743,21,1560,1.346,1.821,1.045,-0.777
microsoft_TypeScript,Declined,65,40,3446,1.161,18,3401,0.529,5,2801,0.179,2,1915,0.104,0.845,0.141,-0.704
JuliaLang_julia,Declined,111,42,1512,2.778,23,1548,1.486,30,1691,1.774,16,1305,1.226,2.132,1.5,-0.632
bitcoin_bitcoin,Declined,41,12,656,1.829,12,550,2.182,12,529,2.268,5,603,0.829,2.006,1.549,-0.457
kubernetes_kubernetes,Declined,64,24,2384,1.007,19,2249,0.845,14,1995,0.702,7,2067,0.339,0.926,0.52,-0.406
sveltejs_svelte,Declined,18,4,704,0.568,5,669,0.747,6,1511,0.397,3,1717,0.175,0.658,0.286,-0.372
electron_electron,Stable,13,8,1781,0.449,3,1358,0.221,1,1312,0.076,1,1145,0.087,0.335,0.082,-0.253
microsoft_vscode,Stable,175,82,21353,0.384,40,22442,0.178,25,19882,0.126,28,19030,0.147,0.281,0.136,-0.145
mui_material-ui,Stable,131,45,2702,1.665,37,1657,2.233,32,1575,2.032,17,1031,1.649,1.949,1.84,-0.109
huggingface_transformers,Stable,131,33,2408,1.37,31,2495,1.242,41,3056,1.342,26,2391,1.087,1.306,1.215,-0.092
ant-design_ant-design,Stable,18,5,2631,0.19,7,2836,0.247,2,2664,0.075,4,1891,0.212,0.218,0.143,-0.075
tensorflow_tensorflow,Stable,3,0,2936,0.0,3,2456,0.122,0,1974,0.0,0,1168,0.0,0.061,0.0,-0.061
facebook_react,Stable,5,1,1049,0.095,2,783,0.255,1,714,0.14,1,760,0.132,0.175,0.136,-0.04
microsoft_PowerToys,Stable,35,3,6175,0.049,13,7132,0.182,11,5586,0.197,8,5714,0.14,0.115,0.168,0.053
excalidraw_excalidraw,Stable,66,9,524,1.718,19,659,2.883,9,764,1.178,29,804,3.607,2.3,2.392,0.092
pytorch_pytorch,Stable,363,36,5841,0.616,122,7878,1.549,126,8138,1.548,79,9279,0.851,1.082,1.2,0.117
flutter_flutter,Stable,180,53,13920,0.381,28,13756,0.204,43,12134,0.354,56,11455,0.489,0.292,0.422,0.129
denoland_deno,Stable,151,34,1593,2.134,26,1925,1.351,60,2158,2.78,31,2733,1.134,1.742,1.957,0.215
nodejs_node,Increased,135,17,1341,1.268,42,1491,2.817,43,1596,2.694,33,1479,2.231,2.042,2.463,0.42
storybookjs_storybook,Increased,160,21,1470,1.429,46,1829,2.515,77,1529,5.036,16,1034,1.547,1.972,3.292,1.32
puppeteer_puppeteer,Increased,22,1,528,0.189,3,707,0.424,7,679,1.031,11,406,2.709,0.307,1.87,1.563
angular_angular,Increased,223,21,1266,1.659,27,1342,2.012,123,2199,5.593,52,1684,3.088,1.835,4.341,2.505
fastapi_fastapi,Increased,4,0,778,0.0,0,373,0.0,2,81,2.469,2,55,3.636,0.0,3.053,3.053
