repository,pre_ai_gfi,post_ai_gfi,pre_ai_total,post_ai_total,pre_ai_ratio,post_ai_ratio,change_rate
tensorflow_tensorflow,3,0,4029,4505,0.07446016381236038,0.0,-100.0
vercel_next.js,83,25,4646,8717,1.7864829961256996,0.2867959160261558,-83.94633944749977
godotengine_godot,99,37,9201,19809,1.0759700032605153,0.18678378514816496,-82.64042821062358
electron_electron,10,3,2356,3240,0.4244482173174873,0.0925925925925926,-78.18518518518518
microsoft_TypeScript,49,16,4753,6810,1.0309278350515463,0.23494860499265785,-77.20998531571219
microsoft_terminal,53,14,2652,2635,1.998491704374057,0.5313092979127134,-73.41448569689592
yt-dlp_yt-dlp,99,56,3614,5538,2.7393469839513003,1.0111953773925604,-63.086261677810974
tauri-apps_tauri,34,37,1504,3620,2.2606382978723407,1.0220994475138123,-54.78713032174195
microsoft_vscode,96,79,30818,51889,0.31150626257382047,0.1522480679912891,-51.125198340046374
rust-lang_rust,169,207,6450,12290,2.62015503875969,1.6842961757526445,-35.71769033370085
huggingface_transformers,55,76,3315,7035,1.6591251885369533,1.0803127221037667,-34.886605931382064
kubernetes_kubernetes,31,33,3317,5378,0.9345794392523363,0.6136110078095947,-34.343622164373365
sveltejs_svelte,5,13,966,3635,0.5175983436853002,0.3576341127922971,-30.905089408528198
bitcoin_bitcoin,19,22,898,1440,2.1158129175946545,1.5277777777777777,-27.792397660818708
JuliaLang_julia,47,64,2117,3939,2.220122815304676,1.624777862401625,-26.815856708420416
denoland_deno,46,105,2389,6020,1.9254918375889492,1.744186046511628,-9.416076845298273
supabase_supabase,81,182,1219,2885,6.6447908121411,6.308492201039861,-5.0610865053383876
mui_material-ui,63,68,3432,3533,1.8356643356643356,1.9247098782904049,4.850861941153486
facebook_react,2,3,1390,1916,0.14388489208633093,0.15657620041753653,8.820459290187895
ohmyzsh_ohmyzsh,4,6,474,628,0.8438818565400843,0.9554140127388535,13.216560509554153
flutter_flutter,61,119,19510,31755,0.3126601742696053,0.3747441347819241,19.856689665497374
ant-design_ant-design,6,12,3769,6253,0.15919342000530645,0.19190788421557653,20.55013593475132
pytorch_pytorch,83,280,8839,22297,0.9390202511596335,1.2557743194151678,33.73240011217672
nodejs_node,33,102,1904,4003,1.7331932773109244,2.5480889333000247,47.01700996979536
excalidraw_excalidraw,12,54,804,1947,1.4925373134328357,2.773497688751926,85.82434514637907
angular_angular,32,191,1807,4684,1.770890979524073,4.077711357813834,130.26326323654996
storybookjs_storybook,25,135,1948,3914,1.2833675564681724,3.4491568727644353,168.75830352580482
microsoft_PowerToys,4,31,9066,15541,0.04412089124200309,0.19947236342577698,352.1041117045236
puppeteer_puppeteer,2,20,814,1506,0.2457002457002457,1.3280212483399734,440.50464807436913
