month,repository,merged,pr_size,insertions_log,deletions_log,files_changed,commits_count,review_count,body_length,time_to_merge_days,task_type
2022-04,yt-dlp_yt-dlp,1,2,0.6931471805599453,0.6931471805599453,1,4,0,1608,14.41179398148148,bug
2022-04,yt-dlp_yt-dlp,1,10,1.6094379124341003,1.9459101490553132,1,2,2,1559,0.0832523148148148,feature
2022-05,yt-dlp_yt-dlp,1,4,1.0986122886681098,1.0986122886681098,1,2,3,1824,1.3889004629629629,bug
2022-07,yt-dlp_yt-dlp,1,57,4.060443010546419,0.0,2,3,7,2772,10.033472222222223,other
2022-08,yt-dlp_yt-dlp,1,45,3.5263605246161616,2.5649493574615367,1,3,1,1999,0.05310185185185185,feature
2022-08,yt-dlp_yt-dlp,1,28,3.367295829986474,0.0,2,3,2,1787,0.05237268518518518,other
2022-09,yt-dlp_yt-dlp,1,32,2.9444389791664403,2.70805020110221,1,4,0,1975,2.2571296296296297,bug
2022-10,yt-dlp_yt-dlp,1,53,3.295836866004329,3.332204510175204,1,3,2,1804,2.0104166666666665,bug
2022-10,yt-dlp_yt-dlp,1,17,2.833213344056216,0.6931471805599453,1,2,1,1933,0.12846064814814814,bug
2022-10,yt-dlp_yt-dlp,1,8,1.9459101490553132,1.0986122886681098,1,8,6,1799,284.1796527777778,feature
2022-10,yt-dlp_yt-dlp,1,6,1.791759469228055,0.6931471805599453,1,3,2,2010,1.014861111111111,feature
2022-10,yt-dlp_yt-dlp,1,23,2.772588722239781,2.1972245773362196,1,6,5,1961,12.517627314814815,bug
2022-11,yt-dlp_yt-dlp,1,2,1.0986122886681098,0.0,1,2,0,2242,0.15649305555555557,feature
2022-11,yt-dlp_yt-dlp,1,15,2.6390573296152584,1.0986122886681098,1,8,2,2075,0.9160300925925925,bug
2022-11,yt-dlp_yt-dlp,1,109,4.653960350157523,1.791759469228055,2,9,9,2045,41.79226851851852,other
2022-12,yt-dlp_yt-dlp,1,3,1.3862943611198906,0.0,1,2,8,1865,36.32271990740741,feature
2023-01,yt-dlp_yt-dlp,1,7,0.6931471805599453,1.9459101490553132,2,3,2,1985,38.2847337962963,bug
2023-02,yt-dlp_yt-dlp,1,13,2.5649493574615367,0.6931471805599453,1,5,1,2063,10.114618055555555,bug
2023-02,yt-dlp_yt-dlp,1,92,4.07753744390572,3.5553480614894135,1,10,8,1914,95.71145833333333,feature
2023-03,yt-dlp_yt-dlp,1,6,1.3862943611198906,1.3862943611198906,1,2,1,1934,2.285289351851852,bug
2023-05,yt-dlp_yt-dlp,1,17,2.302585092994046,2.1972245773362196,1,7,2,3489,7.282847222222222,feature
2023-06,yt-dlp_yt-dlp,1,20,2.9444389791664403,1.0986122886681098,1,3,7,3171,0.19644675925925925,bug
2023-07,yt-dlp_yt-dlp,1,21,3.044522437723423,0.6931471805599453,1,3,1,2355,5.01,bug
2023-08,yt-dlp_yt-dlp,1,109,4.418840607796598,3.332204510175204,1,3,0,3203,26.075439814814814,bug
2023-09,yt-dlp_yt-dlp,1,24,3.1354942159291497,1.0986122886681098,1,2,1,4527,8.155347222222222,bug
2023-09,yt-dlp_yt-dlp,1,9,2.1972245773362196,0.6931471805599453,1,5,2,3361,0.5741666666666666,bug
2023-12,yt-dlp_yt-dlp,1,78,4.3694478524670215,0.0,2,6,3,2172,40.280208333333334,other
2024-01,yt-dlp_yt-dlp,1,2,0.6931471805599453,0.6931471805599453,1,1,1,2452,0.062314814814814816,bug
2024-01,yt-dlp_yt-dlp,1,9,1.9459101490553132,1.3862943611198906,1,2,1,1975,3.4239699074074075,bug
2024-01,yt-dlp_yt-dlp,1,13,2.0794415416798357,1.9459101490553132,1,4,3,1896,0.040289351851851854,bug
2024-02,yt-dlp_yt-dlp,1,210,5.351858133476067,0.0,2,9,3,2401,3.9952083333333337,other
2024-03,yt-dlp_yt-dlp,1,12,2.3978952727983707,1.0986122886681098,1,4,7,2078,4.5662615740740735,bug
2024-03,yt-dlp_yt-dlp,1,18,2.9444389791664403,0.0,1,7,5,2209,0.4403819444444444,bug
2024-05,yt-dlp_yt-dlp,1,37,3.58351893845611,1.0986122886681098,1,8,3,2719,11.620381944444444,feature
2024-05,yt-dlp_yt-dlp,1,2,0.6931471805599453,0.6931471805599453,1,2,2,1947,5.582928240740741,feature
2024-12,yt-dlp_yt-dlp,1,23,3.044522437723423,1.3862943611198906,1,2,3,2116,52.07039351851852,bug
2025-02,yt-dlp_yt-dlp,1,85,4.454347296253507,0.0,2,10,7,1806,16.54275462962963,other
2025-04,yt-dlp_yt-dlp,1,4,1.0986122886681098,1.0986122886681098,2,3,4,1963,9.678344907407407,feature
2021-10,yt-dlp_yt-dlp,0,38,3.2188758248682006,2.70805020110221,1,8,9,2070,,bug
2023-04,yt-dlp_yt-dlp,0,15,1.9459101490553132,2.302585092994046,1,1,0,2022,,bug
2023-07,yt-dlp_yt-dlp,0,8,1.9459101490553132,1.0986122886681098,1,7,2,2929,,bug
2024-04,yt-dlp_yt-dlp,0,15,2.70805020110221,0.6931471805599453,1,4,2,2083,,feature
2025-05,yt-dlp_yt-dlp,0,8,1.791759469228055,1.3862943611198906,1,6,1,1914,,bug
2022-03,excalidraw_excalidraw,1,11,2.0794415416798357,1.6094379124341003,2,2,6,498,0.720925925925926,other
2023-04,excalidraw_excalidraw,1,172,4.48863636973214,4.442651256490317,1,5,2,259,0.2064814814814815,feature
2023-04,excalidraw_excalidraw,1,15,2.70805020110221,0.6931471805599453,2,5,7,35,0.5026157407407407,bug
2023-04,excalidraw_excalidraw,1,31,3.4657359027997265,0.0,2,5,3,11,2.140972222222222,other
2024-06,excalidraw_excalidraw,1,12,2.3978952727983707,1.0986122886681098,3,3,1,322,10.476111111111111,documentation
2025-03,excalidraw_excalidraw,1,93,3.8918202981106265,3.828641396489095,16,5,2,289,11.548414351851852,other
2025-03,excalidraw_excalidraw,1,8,2.1972245773362196,0.0,2,2,2,95,77.76685185185185,other
2025-04,excalidraw_excalidraw,1,4,1.0986122886681098,1.0986122886681098,1,1,1,130,0.4522337962962963,other
2023-01,excalidraw_excalidraw,0,212,5.236441962829949,3.258096538021482,6,11,0,656,,feature
2023-04,excalidraw_excalidraw,0,8,2.0794415416798357,0.6931471805599453,1,1,0,449,,other
2023-04,excalidraw_excalidraw,0,81,3.9889840465642745,3.367295829986474,3,1,0,303,,feature
2023-05,excalidraw_excalidraw,0,224,4.867534450455582,4.564348191467836,2,2,0,245,,feature
2024-08,excalidraw_excalidraw,0,1141,6.725033642166843,5.736572297479192,3,1,3,11,,other
2024-10,excalidraw_excalidraw,0,153,4.927253685157205,2.833213344056216,6,7,8,476,,other
2024-10,excalidraw_excalidraw,0,62,3.871201010907891,2.772588722239781,1,1,0,445,,other
2024-10,excalidraw_excalidraw,0,2,0.6931471805599453,0.6931471805599453,1,1,0,213,,other
2025-02,excalidraw_excalidraw,0,4,1.0986122886681098,1.0986122886681098,2,3,1,91,,other
2025-05,excalidraw_excalidraw,0,56,4.007333185232471,1.0986122886681098,3,3,0,301,,feature
2025-05,excalidraw_excalidraw,0,10164,1.3862943611198906,9.226410552153677,2,3,0,731,,other
2025-05,excalidraw_excalidraw,0,29,3.332204510175204,1.0986122886681098,1,1,1,1160,,feature
2022-03,pytorch_pytorch,0,193,5.231108616854587,2.0794415416798357,66,4,6,306,,feature
