repository,pr_number,pr_url,gfi_issue_numbers,created_at,state,matched_types,all_labels,gfi_issue_urls,classification,label_types
denoland_deno,11760,https://github.com/denoland/deno/pull/11760,11754,2021/8/18,MERGED,Bug; Documentation,bug; good first issue; docs,https://github.com/denoland/deno/issues/11754,Documentation,Bug
electron_electron,33262,https://github.com/electron/electron/pull/33262,32867,2022/3/13,MERGED,Bug; Documentation,documentation :notebook:; beginner friendly; bug :beetle:,https://github.com/electron/electron/issues/32867,Documentation,Feature
electron_electron,39258,https://github.com/electron/electron/pull/39258,38339,2023/7/27,MERGED,Feature; Documentation,enhancement :sparkles:; documentation :notebook:; beginner friendly,https://github.com/electron/electron/issues/38339,Documentation,Documentation
electron_electron,45392,https://github.com/electron/electron/pull/45392,14728,2025/1/30,MERGED,Feature; Documentation,enhancement :sparkles:; documentation :notebook:; beginner friendly,https://github.com/electron/electron/issues/14728,Feature,
electron_electron,46094,https://github.com/electron/electron/pull/46094,40173,2025/3/18,CLOSED,Feature; Documentation,enhancement :sparkles:; documentation :notebook:; beginner friendly,https://github.com/electron/electron/issues/40173,Documentation,
electron_electron,46518,https://github.com/electron/electron/pull/46518,40173,2025/4/6,OPEN,Feature; Documentation,enhancement :sparkles:; documentation :notebook:; beginner friendly,https://github.com/electron/electron/issues/40173,Documentation,
godotengine_godot,70386,https://github.com/godotengine/godot/pull/70386,70141,2022/12/21,MERGED,Feature; Documentation,enhancement; topic:core; good first issue; documentation,https://github.com/godotengine/godot/issues/70141,Documentation,
huggingface_transformers,29661,https://github.com/huggingface/transformers/pull/29661,27142,2024/3/14,MERGED,Bug; Documentation,Documentation; bug; Good First Issue,https://github.com/huggingface/transformers/issues/27142,Bug,
kubernetes_kubernetes,118259,https://github.com/kubernetes/kubernetes/pull/118259,118172,2023/5/25,CLOSED,Bug; Documentation,kind/bug; priority/backlog; kind/documentation; sig/node; help wanted; priority/important-longterm; good first issue; triage/accepted,https://github.com/kubernetes/kubernetes/issues/118172,Bug,
kubernetes_kubernetes,128945,https://github.com/kubernetes/kubernetes/pull/128945,118172,2024/11/22,CLOSED,Bug; Documentation,kind/bug; priority/backlog; kind/documentation; sig/node; help wanted; priority/important-longterm; good first issue; triage/accepted,https://github.com/kubernetes/kubernetes/issues/118172,Bug,
mui_material-ui,27723,https://github.com/mui/material-ui/pull/27723,27525,2021/8/13,MERGED,Bug; Documentation,type: bug; docs; good first issue; scope: autocomplete,https://github.com/mui/material-ui/issues/27525,Bug,
mui_material-ui,28260,https://github.com/mui/material-ui/pull/28260,28236,2021/9/10,MERGED,Bug; Documentation,type: bug; docs; good first issue,https://github.com/mui/material-ui/issues/28236,Documentation,
mui_material-ui,28700,https://github.com/mui/material-ui/pull/28700,28677,2021/9/29,MERGED,Bug; Documentation,type: bug; docs; good first issue,https://github.com/mui/material-ui/issues/28677,Documentation,
mui_material-ui,28873,https://github.com/mui/material-ui/pull/28873,28850,2021/10/6,MERGED,Bug; Documentation,type: bug; docs; good first issue; component: Box,https://github.com/mui/material-ui/issues/28850,Documentation,
mui_material-ui,29117,https://github.com/mui/material-ui/pull/29117,29050,2021/10/17,MERGED,Feature; Documentation,type: new feature; docs; good first issue; scope: system,https://github.com/mui/material-ui/issues/29050,Documentation,
mui_material-ui,29180,https://github.com/mui/material-ui/pull/29180,29065,2021/10/20,MERGED,Bug; Documentation,type: bug; docs; good first issue; scope: menu,https://github.com/mui/material-ui/issues/29065,Documentation,
mui_material-ui,36858,https://github.com/mui/material-ui/pull/36858,36856,2023/4/12,MERGED,Bug; Documentation,type: bug; docs; good first issue; ready to take,https://github.com/mui/material-ui/issues/36856,Documentation,
mui_material-ui,39259,https://github.com/mui/material-ui/pull/39259,38862,2023/10/1,MERGED,Bug; Documentation,type: bug; docs; good first issue; typescript; scope: system; customization: theme,https://github.com/mui/material-ui/issues/38862,Documentation,
mui_material-ui,40303,https://github.com/mui/material-ui/pull/40303,40298,2023/12/24,MERGED,Bug; Documentation,type: bug; docs; good first issue; ready to take,https://github.com/mui/material-ui/issues/40298,Documentation,
mui_material-ui,43067,https://github.com/mui/material-ui/pull/43067,42859,2024/7/25,MERGED,Bug; Documentation,type: bug; docs; good first issue; scope: card; ready to take,https://github.com/mui/material-ui/issues/42859,Documentation,
mui_material-ui,43119,https://github.com/mui/material-ui/pull/43119,42859,2024/7/30,CLOSED,Bug; Documentation,type: bug; docs; good first issue; scope: card; ready to take,https://github.com/mui/material-ui/issues/42859,Documentation,
